Customer_ID,Name,Age,Gender,City,Income,Purchase_Frequency,Total_Spending,Customer_Satisfaction
1001,Karthik Patel,20.0,Female,Kolkata,809351.0,4,94524,5.0
1002,Mohan Kapoor,54.0,Female,,743216.0,13,86006,1.0
1003,Suresh Nair,60.0,Male,Delhi,932405.0,13,29704,4.0
1004,Mohan Raj,57.0,Male,Hyderabad,1083550.0,10,99913,2.0
1005,Karthik Das,43.0,Female,Kolkata,1383279.0,18,99108,1.0
1006,Ramesh Verma,40.0,Male,Mumbai,745164.0,17,12493,3.0
1007,Suresh Gupta,61.0,Female,Mumbai,539220.0,20,74639,2.0
1008,Nisha Raj,56.0,Female,Kolkata,1494453.0,20,59383,1.0
1009,Sneha Nair,32.0,Female,Pune,731725.0,13,7994,5.0
1010,Nisha Singh,21.0,Female,Kolkata,1075553.0,17,74280,3.0
1011,Isha Raj,46.0,Female,Mumbai,1067865.0,22,52234,5.0
1012,Priya Nair,39.0,Female,Delhi,817597.0,4,52291,1.0
1013,Pooja Mehta,42.0,Male,Chennai,1103900.0,1,97868,5.0
1014,Meena Sharma,30.0,Male,Chennai,687470.0,1,10594,1.0
1015,Kavya Raj,35.0,Female,Kolkata,1205357.0,15,12371,1.0
1016,Arun Shah,50.0,Female,Bangalore,1074837.0,13,52315,5.0
1017,Pallavi Rao,33.0,Female,Kolkata,1234156.0,17,88564,1.0
1018,Mohan Shah,62.0,Male,Pune,1113659.0,24,84526,2.0
1019,Aditya Kumar,59.0,Female,Kolkata,1167996.0,26,21626,1.0
1020,Sanjay Gupta,61.0,Male,Chennai,998778.0,8,91005,4.0
1021,Divya Joshi,19.0,Female,Mumbai,389883.0,18,12130,1.0
1022,Kavya Shah,52.0,Female,Kolkata,1453920.0,27,11828,4.0
1023,Swetha Kapoor,59.0,Male,MUMBAI,1261439.0,13,62514,1.0
1024,Deepa Mehta,51.0,Male,Mumbai,997852.0,23,57664,1.0
1025,Naveen Mehta,47.0,Female,Bangalore,1406618.0,14,22883,5.0
1026,Ramesh Shah,30.0,,Mumbai,1352686.0,8,48059,2.0
1027,Vikram Patel,30.0,Female,Chennai,1443627.0,8,89078,2.0
1028,Aditya Singh,35.0,Male,Delhi,1013461.0,27,47932,3.0
1029,Vijay Singh,49.0,Male,Delhi,278328.0,26,66269,5.0
1030,Karthik Raj,49.0,Male,Hyderabad,887199.0,15,80986,5.0
1031,Ravi Verma,52.0,Male,Pune,1357810.0,27,90959,2.0
1032,Asha Patel,56.0,Male,Kolkata,1062283.0,13,7035,5.0
1033,Aditya Shah,63.0,Male,pune,1067711.0,7,45745,2.0
1034,Lakshmi Sharma,46.0,Female,Chennai,1051881.0,5,22241,5.0
